frame.time_epoch,eth.src,eth.dst,arp.opcode,arp.src.hw_mac,arp.src.proto_ipv4,arp.dst.hw_mac,arp.dst.proto_ipv4,arp.isgratuitous
1778013859.813502127,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.87,
1778013859.813502297,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.88,
1778013859.813502387,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.89,
1778013859.813995796,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.90,
1778013859.813995916,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.91,
1778013859.813995976,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.92,
1778013859.813996036,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.93,
1778013859.814509637,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.94,
1778013859.814509777,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.95,
1778013859.814509837,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.96,
1778013859.814509898,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.97,
1778013859.815053932,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.98,
1778013859.815054063,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.99,
1778013859.815054113,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.100,
1778013859.815054173,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.101,
1778013859.815580131,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.102,
1778013859.815580261,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.103,
1778013859.815580321,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.104,
